net,length_um
_0381_,12.96µm
_0660_,12.84µm
u_fifo.mem\[4\]\[6\],12.76µm
_0519_,12.74µm
u_uart.clk_count\[4\],12.68µm
u_fifo.mem\[2\]\[1\],12.66µm
_0707_,12.64µm
_0668_,12.62µm
u_fifo.mem\[4\]\[7\],12.62µm
_0628_,12.6µm
_0503_,12.58µm
u_fifo.mem\[2\]\[0\],12.58µm
u_fifo.mem\[5\]\[4\],12.54µm
_0658_,12.5µm
u_fifo.mem\[11\]\[3\],12.5µm
_0066_,12.46µm
_0577_,12.39µm
u_fifo.mem\[3\]\[5\],12.385µm
u_max30102_ctrl.clk_div\[9\],12.38µm
_0647_,12.34µm
_0454_,12.32µm
_0708_,12.3µm
_0263_,12.28µm
u_uart.tx_data_reg\[0\],12.2µm
_0425_,12.16µm
_0453_,12.14µm
net170,12.12µm
u_fifo.mem\[5\]\[7\],12.1µm
_0400_,12.08µm
i2c_scl,12.07µm
net267,12.06µm
u_fifo.mem\[2\]\[3\],12.02µm
_0614_,11.98µm
_0518_,11.96µm
_0041_,11.94µm
u_fifo.mem\[3\]\[0\],11.9µm
_0245_,11.82µm
_0704_,11.76µm
u_fifo.mem\[12\]\[7\],11.76µm
u_fifo.mem\[10\]\[4\],11.72µm
_0534_,11.68µm
_0492_,11.63µm
_0219_,11.625µm
_0465_,11.58µm
u_fifo.mem\[4\]\[2\],11.58µm
u_uart.clk_count\[1\],11.56µm
_0667_,11.46µm
u_fifo.mem\[3\]\[4\],11.42µm
u_uart.tx_data_reg\[4\],11.38µm
_0023_,11.34µm
_0560_,11.34µm
u_fifo.mem\[0\]\[3\],11.34µm
_0047_,11.32µm
u_uart.clk_count\[8\],11.32µm
net187,11.32µm
u_fifo.mem\[15\]\[0\],11.3µm
u_fifo.mem\[14\]\[7\],11.26µm
_0210_,11.2µm
u_fifo.mem\[1\]\[7\],11.18µm
_0478_,11.175µm
_0611_,11.16µm
_0438_,11.15µm
u_fifo.mem\[15\]\[4\],11.135µm
net7,11.12µm
_0294_,11.08µm
_0718_,11.08µm
_0644_,11.04µm
_0395_,11.02µm
net2,11µm
_0549_,10.98µm
u_fifo.mem\[13\]\[2\],10.975µm
_0634_,10.96µm
_0248_,10.92µm
u_fifo.mem\[8\]\[7\],10.92µm
_0599_,10.88µm
_0680_,10.84µm
_0349_,10.8µm
uart_tx_pin,10.78µm
_0697_,10.74µm
u_uart.tx_data_reg\[2\],10.73µm
u_fifo.mem\[1\]\[0\],10.7µm
u_fifo.mem\[5\]\[3\],10.6µm
u_fifo.mem\[14\]\[1\],10.56µm
u_max30102_ctrl.clk_div\[14\],10.54µm
u_fifo.mem\[11\]\[7\],10.5µm
u_uart.clk_count\[5\],10.5µm
net237,10.5µm
_0507_,10.38µm
_0064_,10.36µm
u_fifo.mem\[12\]\[4\],10.36µm
u_fifo.mem\[14\]\[3\],10.34µm
_0150_,10.325µm
_0672_,10.32µm
led_status[0],10.32µm
u_fifo.mem\[7\]\[7\],10.32µm
_0330_,10.28µm
u_packet_assembler.timer\[19\],10.28µm
u_packet_assembler.timer\[3\],10.24µm
u_fifo.mem\[8\]\[5\],10.16µm
_0462_,10.12µm
_0175_,10.105µm
_0525_,10.1µm
_0092_,10.06µm
u_fifo.mem\[9\]\[2\],9.96µm
_0605_,9.92µm
_0192_,9.905µm
_0328_,9.9µm
_0423_,9.9µm
u_packet_assembler.timer\[18\],9.84µm
_0504_,9.82µm
u_uart.tx_data_reg\[7\],9.82µm
_0084_,9.74µm
_0295_,9.74µm
_0690_,9.74µm
u_fifo.mem\[12\]\[0\],9.74µm
u_fifo.mem\[12\]\[5\],9.74µm
_0037_,9.725µm
_0529_,9.7µm
_0724_,9.7µm
_0343_,9.68µm
_0057_,9.64µm
net213,9.62µm
_0499_,9.58µm
u_fifo.mem\[10\]\[1\],9.58µm
u_fifo.mem\[9\]\[0\],9.58µm
_0247_,9.54µm
_0721_,9.54µm
net264,9.54µm
_0080_,9.52µm
u_fifo.mem\[13\]\[6\],9.5µm
u_fifo.mem\[0\]\[6\],9.46µm
u_fifo.mem\[2\]\[7\],9.46µm
u_fifo.mem\[3\]\[1\],9.455µm
u_uart.clk_count\[2\],9.44µm
net162,9.4µm
u_fifo.mem\[15\]\[3\],9.36µm
_0301_,9.34µm
_0042_,9.28µm
_0447_,9.28µm
_0584_,9.24µm
_0367_,9.2µm
_0070_,9.185µm
_0063_,9.18µm
_0068_,9.18µm
_0663_,9.16µm
_0720_,9.12µm
u_max30102_ctrl.clk_div\[6\],9.12µm
u_packet_assembler.timer\[16\],9.12µm
_0670_,9.1µm
u_fifo.mem\[14\]\[5\],9.04µm
_0419_,9.02µm
u_max30102_ctrl.scl_internal,9.01µm
_0324_,8.98µm
_0366_,8.96µm
_0539_,8.96µm
distance_out\[0\],8.96µm
led_status[2],8.96µm
pwr_ctrl,8.96µm
_0249_,8.9µm
net98,8.9µm
net121,8.9µm
net233,8.9µm
net184,8.84µm
_0020_,8.82µm
